Reported Date,Name of Entity,Dates of Breach,State Reported,Source(s),Link to PDF,Start Date of Breach,End Date of Breach
2019-04-02 00:00:00,"Key West Hotels, LLC",02/07/2018 to 12/13/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/KeyWestHotelsLLC.2019-04-02.pdf,2018-02-07 00:00:00,2018-12-13 00:00:00
2019-03-29 00:00:00,Earl Enterprises,05/23/2019 to 03/18/2019,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/EarlEnterprises.2019-03-29.pdf,2019-05-23 00:00:00,2019-03-18 00:00:00
2019-03-19 00:00:00,Seattle Housing Authority (update),01/07/2019,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/SeattleHousingAuthority-Updated.2019-03-22.pdf,2019-01-07 00:00:00,
2019-03-15 00:00:00,"flexPATH Strategies, LLC",12/07/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/flexPATHStrategiesLLC.2019-03-15.pdf,2018-12-07 00:00:00,
2019-03-07 00:00:00,"Columbia Surgical Specialists, P.S.",01/09/2019,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/ColumbiaSurgicalSpecialists.2019-03-07.pdf,2019-01-09 00:00:00,
2019-02-22 00:00:00,Seattle Housing Authority,01/07/2019,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/SeattleHousingAuthority.2019-02-22.pdf,2019-01-07 00:00:00,
2019-02-20 00:00:00,University of Washington Medical Center,12/04/2018 to 01/10/2019,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/UniversityOfWashingtonMedicalCenter.2019-02-20.pdf,2018-12-04 00:00:00,2019-01-10 00:00:00
2019-02-14 00:00:00,North 40 Outfitters,02/02/2018 to 11/20/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/North40Outfitters.2019-02-14.pdf,2018-02-02 00:00:00,2018-11-20 00:00:00
2019-02-12 00:00:00,Stanwich Mortgage Loan Trust,02/2018 to 01/2019,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/StanwichMortgageLoanTrust.2019-02-12.pdf,2018-02-01 00:00:00,2019-01-01 00:00:00
2019-02-06 00:00:00,Pharmacy Times Office of Continuing Professional Education (update),07/06/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/PharmacyTimesOfficeOfContinuingProfessionalEducationLLCUpdated.2019-02-06_0.pdf,2018-07-06 00:00:00,
2019-01-30 00:00:00,"Image-I-Nation Technologies, Inc.",11/01/2018 to 11/5/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/Image-I-NationTechnologiesInc.2019-01-30.pdf,2018-11-01 00:00:00,2018-11-05 00:00:00
2019-01-18 00:00:00,"Pharmaca Integrative Pharmacy, LLC",07/19/2018 to 12/12/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/PharmacaIntegrativePharmacyInc.2019-01-18.PDF,2018-07-19 00:00:00,2018-12-12 00:00:00
2019-01-11 00:00:00,Caroline Kline Galland Home,12/23/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/CarolineKlineGallandHome.2019-01-11.pdf,2018-12-23 00:00:00,
2019-01-09 00:00:00,"A&A Global Imports, Inc.",08/15/2017 to 01/04/2019,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/AandAGlobalImportsInc.2019-01-09.pdf,2017-08-15 00:00:00,2019-01-04 00:00:00
2019-01-06 00:00:00,Pharmacy Times Office of Continuing Professional Education,07/06/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/PharmacyTimesOfficeOfContinuingProfessionalEducationLLCUpdated.2019-02-06.pdf,2018-07-06 00:00:00,
2019-01-03 00:00:00,Chaplaincy Health Care,11/20/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/ChaplaincyHealthCare.pdf,2018-11-20 00:00:00,
2018-12-31 00:00:00,"Aimbridge Hospitality Holdings, LLC",06/07/2018 to 09/24/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/AimbridgeHospitalityHoldingsLLC.2018-12-31.PDF,2018-06-07 00:00:00,2018-09-24 00:00:00
2018-12-05 00:00:00,San Diego Hardware,02/05/2018 to 08/21/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/SanDiegoHardware.2018-12-05.pdf,2018-02-05 00:00:00,2018-08-21 00:00:00
Unspecified,"Titan Manufacturing and Distributing, Inc.",Unspecified,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/TitanManufacturingAndDistributingInc.2018-12-07.pdf,Unspecified,
2018-11-30 00:00:00,"Marriott International, Inc.",Since 2014,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/MarriottInternationalInc.2018-11-30.pdf,Since 2014,
2018-11-27 00:00:00,Atrium Health,09/22/2018 to 09/29/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/AtriumHealth.2018-11-28.pdf,2018-09-22 00:00:00,2018-09-29 00:00:00
2018-11-27 00:00:00,Washington State Patrol,10/14/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/WashingtonStatePatrol.2018-11-27.pdf,2018-10-14 00:00:00,
2018-11-27 00:00:00,"Burgerville, LLC (Amended)",08/2017 to 09/30/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/BurgervilleLLC.2018-10-30.pdf,2017-08-01 00:00:00,2018-09-30 00:00:00
2018-11-21 00:00:00,"British Airways, PLC",08/21/2018 to 09/05/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/BritishAirwaysPlc.2018-11-21.pdf,2018-08-21 00:00:00,2018-09-05 00:00:00
2018-11-19 00:00:00,Francesca’s Services Corporation,12/28/2017 to 07/09/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/MarriottInternationalInc.2018-11-30_0.pdf,2017-12-28 00:00:00,2018-07-09 00:00:00
2018-11-16 00:00:00,"LPL Financial, LLC (LPL)",11/01/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/LPLFinancialLLC.2018-11-16.pdf,2018-11-01 00:00:00,
2018-11-16 00:00:00,Washington State Employee Credit Union (WSECU),Unspecified,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/WashingtonStateEmployeesCreditUnion.11-15-18.pdf,Unspecified,
2018-11-15 00:00:00,"HealthEquity, Inc.",09/04/2018 to 10/03/2018 & 10/05/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/HealthEquityInc.2018-11-15.pdf,2018-09-04 00:00:00,10/03/2018 & 10/05/2018
2018-11-15 00:00:00,"Newegg, Inc.",08/13/2018 to 09/19/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/NeweggInc.2018-11-15.pdf,2018-08-13 00:00:00,2018-09-19 00:00:00
2018-11-13 00:00:00,"Stein Mart, Inc.",12/28/2017 to 07/09/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/SteinMartInc.2018-11-13.pdf,2017-12-28 00:00:00,2018-07-09 00:00:00
2018-11-13 00:00:00,"Pharmacy Times Office of Continuing Professional Education, LLC",05/11/2018 to 07/06/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/PharmacyTimesOfficeOfContinuingProfessionalEducationLLC.2018-11-13.pdf,2018-05-11 00:00:00,2018-07-06 00:00:00
2018-11-12 00:00:00,"Collier Heggerness & Bronk CPA’s PS, Inc.",09/27/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/CollierHeggernessBronkCPAsPSInc.2018-11-12.pdf,2018-09-27 00:00:00,
2018-11-12 00:00:00,"Title Nine Sports, Inc.",12/28/2017 to 08/09/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/TitleNineSportsInc.2018-11-12.pdf,2017-12-28 00:00:00,2018-08-09 00:00:00
2018-11-09 00:00:00,"Thesy, LLC",12/06/2017 to 06/27/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/ThesyInc.2018-11-09.pdf,2017-12-06 00:00:00,2018-06-27 00:00:00
2018-11-07 00:00:00,"Unified Trust Company, N.A.",12/06/2017 to 02/25/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/UnifiedTrustCompany.2018-11-07.PDF,2017-12-06 00:00:00,2018-02-25 00:00:00
2018-11-05 00:00:00,"Nordstrom, Inc.",10/09/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/Nordstrom.2018-11-05.PDF,2018-10-09 00:00:00,
2018-10-25 00:00:00,The Caroline Kline Galland Home d/b/a Kline Galland Home Care,01/01/2015 to 09/20/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/TheCarolineKlineGallandHome.2018-10-25.pdf,2015-01-01 00:00:00,2018-09-20 00:00:00
2018-10-25 00:00:00,Bankers Life,05/30/2018 to 09/13/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/BankersLife.2018-10-25.pdf,2018-05-30 00:00:00,2018-09-13 00:00:00
2018-10-25 00:00:00,"GS1 US, Inc.",07/07/2017 to 10/02/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/GS1USInc.2018-10-25.pdf,2017-07-07 00:00:00,2018-10-02 00:00:00
2018-10-22 00:00:00,"Challenger Sports, Inc.",08/26/2018 to 08/29/2018 &  05/09/2017 to 08/29/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/ChallengerSportsInc.2018-10-22.pdf,2018-08-26 00:00:00,2018-08-29 00:00:00
2018-10-22 00:00:00,Renaissance Philanthropic Solutions Group (update),06/05/2018 to 06/13/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/RenaissancePhilanthropicSolutionsGroupUpdate.2018-10-22.PDF,2018-06-05 00:00:00,2018-06-13 00:00:00
2018-10-18 00:00:00,Renaissance Philanthropic Solutions Group,06/05/2018 to 06/13/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/RenaissancePhilanthropicSolutionsGroup.2018-10-18.pdf,2018-06-05 00:00:00,2018-06-13 00:00:00
2018-10-05 00:00:00,"Northwest Surgical Specialists, P.C. d/b/a Rebound Orthopedics & Neurosurgery",05/22/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/NorthwestSurgicalSpecialistsPCdbaReboundOrthopedicsNeurosurgery.2018-10-05.pdf,2018-05-22 00:00:00,
2018-10-02 00:00:00,Zenith American Solutions,08/13/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ZenithAmericanSolutions.2018-10-02.pdf,2018-08-13 00:00:00,
2018-09-12 00:00:00,"Skagit Bancorp, Inc.",06/12/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/SkagitBancorpInc.2018-09-11%20%281%29.pdf,2018-06-12 00:00:00,
2018-09-11 00:00:00,Peaceful Valley Farm Supply,Unspecified,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/PeacefulValleyFarmSupplyInc.2018-09-12.pdf,Unspecified,
2018-08-29 00:00:00,LILLEbaby,06/2016 to 07/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/LILLEbaby.2018-08-29.pdf,2016-06-01 00:00:00,2018-07-01 00:00:00
2018-08-22 00:00:00,SHEIN,06/2018 to 08/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/SHEIN.2018-10-11.pdf,2018-06-01 00:00:00,2018-08-01 00:00:00
2018-08-22 00:00:00,Cheddar's Scratch Kitchen,11/03/2017 to 01/02/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Supporting_Law_Enforcement/CheddarsScratchKitchen.2018-08-22.pdf,2017-11-03 00:00:00,2018-01-02 00:00:00
Unspecified,Overlake Arthritis and Osteoporosis Center,05/11/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/OverlakeArthritisOsteoporosisCenter.2018-07-12.pdf,2018-05-11 00:00:00,
2018-08-03 00:00:00,Colorado Bankers Life Insurance Company,03/28/2018 to 04/13/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/ColoradoBankersLifeInsuranceCompany.2018-08-03.pdf,2018-03-28 00:00:00,2018-04-13 00:00:00
2018-08-01 00:00:00,Manduka (Update),02/22/2017 to 03/05/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/MandukaUpdate.2018-08-01.pdf,2017-02-22 00:00:00,2018-03-05 00:00:00
2018-07-27 00:00:00,Yale University,04/2008 to 01/2009,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Home/Safeguarding_Consumers/Data_Breach/YaleUniversity.2018-07-27.pdf,2008-04-01 00:00:00,2009-01-01 00:00:00
2018-07-25 00:00:00,"TradeMotion, LLC",10/2017 & 01/2018 to 05/2018,Washington,https://www.atg.wa.gov/data-breach-notifications,https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/TradeMotionLLC.2018-07-25.pdf,10/2017 & 01/2018,2018-05-01 00:00:00
